stock,broker,rating,target_price,previous_price,date,source_url,symbol
ADANIPORTS,Kotak Securities,BUY,-1,1567.9,2025-10-17,https://www.youtube.com/watch?v=bxdcak0fvz8,NSE:ADANIPORTS
M&M,Kotak Securities,BUY,-1,3574,2025-10-17,https://www.youtube.com/watch?v=bxdcak0fvz8,NSE:M&M
ICICIBANK,Kotak Securities,BUY,-1,1408.4,2025-10-17,https://www.youtube.com/watch?v=bxdcak0fvz8,NSE:ICICIBANK
CUMMINSIND,Kotak Securities,ADD,-1,4202.3,2025-10-17,https://www.youtube.com/watch?v=bxdcak0fvz8,NSE:CUMMINSIND
ETERNAL,Kotak Securities,BUY,-1,294.15,2025-10-17,https://www.youtube.com/watch?v=bxdcak0fvz8,NSE:ETERNAL
