stock,broker,rating,target_price,previous_price,date,source_url,symbol
MAXHEALTH,UBS,BUY,1475,1025.45,2026-01-15,https://www.whalesbook.com/news/English/industrial-goodsservices/UBS-Names-8-Midcap-Stocks-for-2026-Flags-Up-to-83percent-Upside/6787e0cd9a3c4,NSE:MAXHEALTH
INDHOTEL,UBS,BUY,900,686.15,2026-01-15,https://www.whalesbook.com/news/English/industrial-goodsservices/UBS-Names-8-Midcap-Stocks-for-2026-Flags-Up-to-83percent-Upside/6787e0cd9a3c4,NSE:INDHOTEL
SHYAMMETL,UBS,BUY,1350,856.9,2026-01-15,https://www.whalesbook.com/news/English/industrial-goodsservices/UBS-Names-8-Midcap-Stocks-for-2026-Flags-Up-to-83percent-Upside/6787e0cd9a3c4,NSE:SHYAMMETL
FORTIS,UBS,BUY,1150,859.85,2026-01-15,https://www.whalesbook.com/news/English/industrial-goodsservices/UBS-Names-8-Midcap-Stocks-for-2026-Flags-Up-to-83percent-Upside/6787e0cd9a3c4,NSE:FORTIS
ASTRAL,UBS,BUY,1903,1501.4,2026-01-15,https://www.whalesbook.com/news/English/industrial-goodsservices/UBS-Names-8-Midcap-Stocks-for-2026-Flags-Up-to-83percent-Upside/6787e0cd9a3c4,NSE:ASTRAL
